index,der_word,subtitle_ind,eng_sent,video_code,start,end,tokens,movie_dir,sinc
46,none,9,but none of it ever seems to hit us.,SI101,48960,51450,but none of ever seems to hit us,./silicon,F
47,of,9,but none of it ever seems to hit us.,SI101,48960,51450,but none of ever seems to hit us,./silicon,F
48,ever,9,but none of it ever seems to hit us.,SI101,48960,51450,but none of ever seems to hit us,./silicon,F
49,seems,9,but none of it ever seems to hit us.,SI101,48960,51450,but none of ever seems to hit us,./silicon,F
50,to,9,but none of it ever seems to hit us.,SI101,48960,51450,but none of ever seems to hit us,./silicon,F
51,hit,9,but none of it ever seems to hit us.,SI101,48960,51450,but none of ever seems to hit us,./silicon,F
52,us,9,but none of it ever seems to hit us.,SI101,48960,51450,but none of ever seems to hit us,./silicon,F
53,what,10,What the hell are you eating?,SI101,51460,53210,what hell are you eating,./silicon,F
54,hell,10,What the hell are you eating?,SI101,51460,53210,what hell are you eating,./silicon,F
55,are,10,What the hell are you eating?,SI101,51460,53210,what hell are you eating,./silicon,F
56,you,10,What the hell are you eating?,SI101,51460,53210,what hell are you eating,./silicon,F
57,eating,10,What the hell are you eating?,SI101,51460,53210,what hell are you eating,./silicon,F
58,liquid,11,Liquid shrimp. It's 200 dollars a quart.,SI101,53210,55710,liquid shrimp it's dollars quart,./silicon,F
59,shrimp,11,Liquid shrimp. It's 200 dollars a quart.,SI101,53210,55710,liquid shrimp it's dollars quart,./silicon,F
60,it's,11,Liquid shrimp. It's 200 dollars a quart.,SI101,53210,55710,liquid shrimp it's dollars quart,./silicon,F
61,dollars,11,Liquid shrimp. It's 200 dollars a quart.,SI101,53210,55710,liquid shrimp it's dollars quart,./silicon,F
62,quart,11,Liquid shrimp. It's 200 dollars a quart.,SI101,53210,55710,liquid shrimp it's dollars quart,./silicon,F
63,wylie,12,Wylie Dufresne made it.,SI101,55720,57550,wylie dufresne made,./silicon,F
64,dufresne,12,Wylie Dufresne made it.,SI101,55720,57550,wylie dufresne made,./silicon,F
65,made,12,Wylie Dufresne made it.,SI101,55720,57550,wylie dufresne made,./silicon,F
66,how,13,How does it taste?,SI101,57550,59890,how does taste,./silicon,F
67,does,13,How does it taste?,SI101,57550,59890,how does taste,./silicon,F
68,taste,13,How does it taste?,SI101,57550,59890,how does taste,./silicon,F
69,like,14,Like how I would imagine cum tastes.,SI101,59890,62380,like how i would imagine cum tastes,./silicon,F
70,how,14,Like how I would imagine cum tastes.,SI101,59890,62380,like how i would imagine cum tastes,./silicon,F
71,i,14,Like how I would imagine cum tastes.,SI101,59890,62380,like how i would imagine cum tastes,./silicon,F
72,would,14,Like how I would imagine cum tastes.,SI101,59890,62380,like how i would imagine cum tastes,./silicon,F
73,imagine,14,Like how I would imagine cum tastes.,SI101,59890,62380,like how i would imagine cum tastes,./silicon,F
74,cum,14,Like how I would imagine cum tastes.,SI101,59890,62380,like how i would imagine cum tastes,./silicon,F
75,tastes,14,Like how I would imagine cum tastes.,SI101,59890,62380,like how i would imagine cum tastes,./silicon,F
76,you,15,You guys taking it all in?,SI101,62390,65180,you guys taking all in,./silicon,F
77,guys,15,You guys taking it all in?,SI101,62390,65180,you guys taking all in,./silicon,F
78,taking,15,You guys taking it all in?,SI101,62390,65180,you guys taking all in,./silicon,F
79,all,15,You guys taking it all in?,SI101,62390,65180,you guys taking all in,./silicon,F
80,in,15,You guys taking it all in?,SI101,62390,65180,you guys taking all in,./silicon,F
81,because,16,Because this is what it looks like when,SI101,65190,67300,because this is what looks like when,./silicon,F
82,this,16,Because this is what it looks like when,SI101,65190,67300,because this is what looks like when,./silicon,F
83,is,16,Because this is what it looks like when,SI101,65190,67300,because this is what looks like when,./silicon,F
84,what,16,Because this is what it looks like when,SI101,65190,67300,because this is what looks like when,./silicon,F
85,looks,16,Because this is what it looks like when,SI101,65190,67300,because this is what looks like when,./silicon,F
86,like,16,Because this is what it looks like when,SI101,65190,67300,because this is what looks like when,./silicon,F
87,when,16,Because this is what it looks like when,SI101,65190,67300,because this is what looks like when,./silicon,F
88,google,17,Google acquires your company  for over 200 million dollars.,SI101,67310,70890,google acquires your company for over million dollars,./silicon,F
89,acquires,17,Google acquires your company  for over 200 million dollars.,SI101,67310,70890,google acquires your company for over million dollars,./silicon,F
90,your,17,Google acquires your company  for over 200 million dollars.,SI101,67310,70890,google acquires your company for over million dollars,./silicon,F
91,company,17,Google acquires your company  for over 200 million dollars.,SI101,67310,70890,google acquires your company for over million dollars,./silicon,F
92,for,17,Google acquires your company  for over 200 million dollars.,SI101,67310,70890,google acquires your company for over million dollars,./silicon,F
93,over,17,Google acquires your company  for over 200 million dollars.,SI101,67310,70890,google acquires your company for over million dollars,./silicon,F
94,million,17,Google acquires your company  for over 200 million dollars.,SI101,67310,70890,google acquires your company for over million dollars,./silicon,F
95,dollars,17,Google acquires your company  for over 200 million dollars.,SI101,67310,70890,google acquires your company for over million dollars,./silicon,F
96,look,18,Look Dustin Moskovitz.,SI101,70900,73440,look dustin moskovitz,./silicon,F
97,dustin,18,Look Dustin Moskovitz.,SI101,70900,73440,look dustin moskovitz,./silicon,F
98,moskovitz,18,Look Dustin Moskovitz.,SI101,70900,73440,look dustin moskovitz,./silicon,F
99,elon,19,Elon Musk. Eric Schmidt.,SI101,73450,75560,elon musk eric schmidt,./silicon,F
100,musk,19,Elon Musk. Eric Schmidt.,SI101,73450,75560,elon musk eric schmidt,./silicon,F
101,eric,19,Elon Musk. Eric Schmidt.,SI101,73450,75560,elon musk eric schmidt,./silicon,F
102,schmidt,19,Elon Musk. Eric Schmidt.,SI101,73450,75560,elon musk eric schmidt,./silicon,F
103,whatever,20,Whatever the fuck the guy's  name is who created Photrio.,SI101,75570,78240,whatever fuck guy's name is who created photrio,./silicon,F
104,fuck,20,Whatever the fuck the guy's  name is who created Photrio.,SI101,75570,78240,whatever fuck guy's name is who created photrio,./silicon,F
105,guy's,20,Whatever the fuck the guy's  name is who created Photrio.,SI101,75570,78240,whatever fuck guy's name is who created photrio,./silicon,F
106,name,20,Whatever the fuck the guy's  name is who created Photrio.,SI101,75570,78240,whatever fuck guy's name is who created photrio,./silicon,F
107,is,20,Whatever the fuck the guy's  name is who created Photrio.,SI101,75570,78240,whatever fuck guy's name is who created photrio,./silicon,F
108,who,20,Whatever the fuck the guy's  name is who created Photrio.,SI101,75570,78240,whatever fuck guy's name is who created photrio,./silicon,F
109,created,20,Whatever the fuck the guy's  name is who created Photrio.,SI101,75570,78240,whatever fuck guy's name is who created photrio,./silicon,F
110,photrio,20,Whatever the fuck the guy's  name is who created Photrio.,SI101,75570,78240,whatever fuck guy's name is who created photrio,./silicon,F
111,i,21,"I mean, Kid Rock is the  poorest person here.",SI101,78240,81740,i mean kid rock is poorest person here,./silicon,F
112,mean,21,"I mean, Kid Rock is the  poorest person here.",SI101,78240,81740,i mean kid rock is poorest person here,./silicon,F
113,kid,21,"I mean, Kid Rock is the  poorest person here.",SI101,78240,81740,i mean kid rock is poorest person here,./silicon,F
114,rock,21,"I mean, Kid Rock is the  poorest person here.",SI101,78240,81740,i mean kid rock is poorest person here,./silicon,F
115,is,21,"I mean, Kid Rock is the  poorest person here.",SI101,78240,81740,i mean kid rock is poorest person here,./silicon,F
116,poorest,21,"I mean, Kid Rock is the  poorest person here.",SI101,78240,81740,i mean kid rock is poorest person here,./silicon,F
117,person,21,"I mean, Kid Rock is the  poorest person here.",SI101,78240,81740,i mean kid rock is poorest person here,./silicon,F
118,here,21,"I mean, Kid Rock is the  poorest person here.",SI101,78240,81740,i mean kid rock is poorest person here,./silicon,F
119,apart,22,Apart from you guys.,SI101,81740,83120,apart from you guys,./silicon,F
120,from,22,Apart from you guys.,SI101,81740,83120,apart from you guys,./silicon,F
121,you,22,Apart from you guys.,SI101,81740,83120,apart from you guys,./silicon,F
122,guys,22,Apart from you guys.,SI101,81740,83120,apart from you guys,./silicon,F
123,ok,23,"Ok, there's 40 billion dollars",SI101,83130,85450,ok there's billion dollars,./silicon,F
124,there's,23,"Ok, there's 40 billion dollars",SI101,83130,85450,ok there's billion dollars,./silicon,F
125,billion,23,"Ok, there's 40 billion dollars",SI101,83130,85450,ok there's billion dollars,./silicon,F
126,dollars,23,"Ok, there's 40 billion dollars",SI101,83130,85450,ok there's billion dollars,./silicon,F
127,of,24,"of net worth, walking around this party.",SI101,85460,87650,of net worth walking around this party,./silicon,F
128,net,24,"of net worth, walking around this party.",SI101,85460,87650,of net worth walking around this party,./silicon,F
129,worth,24,"of net worth, walking around this party.",SI101,85460,87650,of net worth walking around this party,./silicon,F
130,walking,24,"of net worth, walking around this party.",SI101,85460,87650,of net worth walking around this party,./silicon,F
131,around,24,"of net worth, walking around this party.",SI101,85460,87650,of net worth walking around this party,./silicon,F
132,this,24,"of net worth, walking around this party.",SI101,85460,87650,of net worth walking around this party,./silicon,F
133,party,24,"of net worth, walking around this party.",SI101,85460,87650,of net worth walking around this party,./silicon,F
134,and,25,And you guys are standing  around drinking shrimp,SI101,87660,89820,and you guys are standing around drinking shrimp,./silicon,F
135,you,25,And you guys are standing  around drinking shrimp,SI101,87660,89820,and you guys are standing around drinking shrimp,./silicon,F
136,guys,25,And you guys are standing  around drinking shrimp,SI101,87660,89820,and you guys are standing around drinking shrimp,./silicon,F
137,are,25,And you guys are standing  around drinking shrimp,SI101,87660,89820,and you guys are standing around drinking shrimp,./silicon,F
138,standing,25,And you guys are standing  around drinking shrimp,SI101,87660,89820,and you guys are standing around drinking shrimp,./silicon,F
139,around,25,And you guys are standing  around drinking shrimp,SI101,87660,89820,and you guys are standing around drinking shrimp,./silicon,F
140,drinking,25,And you guys are standing  around drinking shrimp,SI101,87660,89820,and you guys are standing around drinking shrimp,./silicon,F
141,shrimp,25,And you guys are standing  around drinking shrimp,SI101,87660,89820,and you guys are standing around drinking shrimp,./silicon,F
142,and,26,and talking about what cum tastes like.,SI101,89830,91830,and talking about what cum tastes like,./silicon,F
143,talking,26,and talking about what cum tastes like.,SI101,89830,91830,and talking about what cum tastes like,./silicon,F
144,about,26,and talking about what cum tastes like.,SI101,89830,91830,and talking about what cum tastes like,./silicon,F
145,what,26,and talking about what cum tastes like.,SI101,89830,91830,and talking about what cum tastes like,./silicon,F
146,cum,26,and talking about what cum tastes like.,SI101,89830,91830,and talking about what cum tastes like,./silicon,F
147,tastes,26,and talking about what cum tastes like.,SI101,89830,91830,and talking about what cum tastes like,./silicon,F
148,like,26,and talking about what cum tastes like.,SI101,89830,91830,and talking about what cum tastes like,./silicon,F
149,yeah,27,"Yeah, I heard that. You  guys live in my Incubator",SI101,91840,95250,yeah i heard that you guys live in my incubator,./silicon,F
150,i,27,"Yeah, I heard that. You  guys live in my Incubator",SI101,91840,95250,yeah i heard that you guys live in my incubator,./silicon,F
151,heard,27,"Yeah, I heard that. You  guys live in my Incubator",SI101,91840,95250,yeah i heard that you guys live in my incubator,./silicon,F
152,that,27,"Yeah, I heard that. You  guys live in my Incubator",SI101,91840,95250,yeah i heard that you guys live in my incubator,./silicon,F
153,you,27,"Yeah, I heard that. You  guys live in my Incubator",SI101,91840,95250,yeah i heard that you guys live in my incubator,./silicon,F
154,guys,27,"Yeah, I heard that. You  guys live in my Incubator",SI101,91840,95250,yeah i heard that you guys live in my incubator,./silicon,F
155,live,27,"Yeah, I heard that. You  guys live in my Incubator",SI101,91840,95250,yeah i heard that you guys live in my incubator,./silicon,F
156,in,27,"Yeah, I heard that. You  guys live in my Incubator",SI101,91840,95250,yeah i heard that you guys live in my incubator,./silicon,F
157,my,27,"Yeah, I heard that. You  guys live in my Incubator",SI101,91840,95250,yeah i heard that you guys live in my incubator,./silicon,F
158,incubator,27,"Yeah, I heard that. You  guys live in my Incubator",SI101,91840,95250,yeah i heard that you guys live in my incubator,./silicon,F
159,you've,28,you've got to network. That's  why I brought you here.,SI101,95260,98050,you've got to network that's why i brought you here,./silicon,F
160,got,28,you've got to network. That's  why I brought you here.,SI101,95260,98050,you've got to network that's why i brought you here,./silicon,F
161,to,28,you've got to network. That's  why I brought you here.,SI101,95260,98050,you've got to network that's why i brought you here,./silicon,F
162,network,28,you've got to network. That's  why I brought you here.,SI101,95260,98050,you've got to network that's why i brought you here,./silicon,F
163,that's,28,you've got to network. That's  why I brought you here.,SI101,95260,98050,you've got to network that's why i brought you here,./silicon,F
164,why,28,you've got to network. That's  why I brought you here.,SI101,95260,98050,you've got to network that's why i brought you here,./silicon,F
165,i,28,you've got to network. That's  why I brought you here.,SI101,95260,98050,you've got to network that's why i brought you here,./silicon,F
166,brought,28,you've got to network. That's  why I brought you here.,SI101,95260,98050,you've got to network that's why i brought you here,./silicon,F
167,you,28,you've got to network. That's  why I brought you here.,SI101,95260,98050,you've got to network that's why i brought you here,./silicon,F
168,here,28,you've got to network. That's  why I brought you here.,SI101,95260,98050,you've got to network that's why i brought you here,./silicon,F
169,i,29,I got us in here.,SI101,98060,99760,i got us in here,./silicon,F
170,got,29,I got us in here.,SI101,98060,99760,i got us in here,./silicon,F
171,us,29,I got us in here.,SI101,98060,99760,i got us in here,./silicon,F
172,in,29,I got us in here.,SI101,98060,99760,i got us in here,./silicon,F
173,here,29,I got us in here.,SI101,98060,99760,i got us in here,./silicon,F
174,javeed,30,Javeed over there is my ex-room-mate.,SI101,99760,102220,javeed over there is my exroommate,./silicon,F
175,over,30,Javeed over there is my ex-room-mate.,SI101,99760,102220,javeed over there is my exroommate,./silicon,F
176,there,30,Javeed over there is my ex-room-mate.,SI101,99760,102220,javeed over there is my exroommate,./silicon,F
177,is,30,Javeed over there is my ex-room-mate.,SI101,99760,102220,javeed over there is my exroommate,./silicon,F
178,my,30,Javeed over there is my ex-room-mate.,SI101,99760,102220,javeed over there is my exroommate,./silicon,F
179,exroommate,30,Javeed over there is my ex-room-mate.,SI101,99760,102220,javeed over there is my exroommate,./silicon,F
180,yeah,31,"Yeah, but I drove.",SI101,102230,104890,yeah but i drove,./silicon,F
181,but,31,"Yeah, but I drove.",SI101,102230,104890,yeah but i drove,./silicon,F
182,i,31,"Yeah, but I drove.",SI101,102230,104890,yeah but i drove,./silicon,F
183,drove,31,"Yeah, but I drove.",SI101,102230,104890,yeah but i drove,./silicon,F
184,eric,32,"Eric Schmidt, Erlich Bachman.",SI101,104900,109260,eric schmidt erlich bachman,./silicon,F
185,schmidt,32,"Eric Schmidt, Erlich Bachman.",SI101,104900,109260,eric schmidt erlich bachman,./silicon,F
186,erlich,32,"Eric Schmidt, Erlich Bachman.",SI101,104900,109260,eric schmidt erlich bachman,./silicon,F
187,bachman,32,"Eric Schmidt, Erlich Bachman.",SI101,104900,109260,eric schmidt erlich bachman,./silicon,F
188,it's,33,It's amazing how the men  and women at these things,SI101,109270,111430,it's amazing how men and women at these things,./silicon,F
189,amazing,33,It's amazing how the men  and women at these things,SI101,109270,111430,it's amazing how men and women at these things,./silicon,F
190,how,33,It's amazing how the men  and women at these things,SI101,109270,111430,it's amazing how men and women at these things,./silicon,F
191,men,33,It's amazing how the men  and women at these things,SI101,109270,111430,it's amazing how men and women at these things,./silicon,F
192,and,33,It's amazing how the men  and women at these things,SI101,109270,111430,it's amazing how men and women at these things,./silicon,F
193,women,33,It's amazing how the men  and women at these things,SI101,109270,111430,it's amazing how men and women at these things,./silicon,F
194,at,33,It's amazing how the men  and women at these things,SI101,109270,111430,it's amazing how men and women at these things,./silicon,F
195,these,33,It's amazing how the men  and women at these things,SI101,109270,111430,it's amazing how men and women at these things,./silicon,F
196,things,33,It's amazing how the men  and women at these things,SI101,109270,111430,it's amazing how men and women at these things,./silicon,F
197,always,34,always separate like this.,SI101,111440,113110,always separate like this,./silicon,F
198,separate,34,always separate like this.,SI101,111440,113110,always separate like this,./silicon,F
199,like,34,always separate like this.,SI101,111440,113110,always separate like this,./silicon,F
200,this,34,always separate like this.,SI101,111440,113110,always separate like this,./silicon,F
201,yeah,35,"Yeah, every party in Silicon Valley  ends up like a hasidic wedding.",SI101,113110,116850,yeah every party in silicon valley ends up like hasidic wedding,./silicon,F
202,every,35,"Yeah, every party in Silicon Valley  ends up like a hasidic wedding.",SI101,113110,116850,yeah every party in silicon valley ends up like hasidic wedding,./silicon,F
203,party,35,"Yeah, every party in Silicon Valley  ends up like a hasidic wedding.",SI101,113110,116850,yeah every party in silicon valley ends up like hasidic wedding,./silicon,F
204,in,35,"Yeah, every party in Silicon Valley  ends up like a hasidic wedding.",SI101,113110,116850,yeah every party in silicon valley ends up like hasidic wedding,./silicon,F
205,silicon,35,"Yeah, every party in Silicon Valley  ends up like a hasidic wedding.",SI101,113110,116850,yeah every party in silicon valley ends up like hasidic wedding,./silicon,F
206,valley,35,"Yeah, every party in Silicon Valley  ends up like a hasidic wedding.",SI101,113110,116850,yeah every party in silicon valley ends up like hasidic wedding,./silicon,F
207,ends,35,"Yeah, every party in Silicon Valley  ends up like a hasidic wedding.",SI101,113110,116850,yeah every party in silicon valley ends up like hasidic wedding,./silicon,F
208,up,35,"Yeah, every party in Silicon Valley  ends up like a hasidic wedding.",SI101,113110,116850,yeah every party in silicon valley ends up like hasidic wedding,./silicon,F
209,like,35,"Yeah, every party in Silicon Valley  ends up like a hasidic wedding.",SI101,113110,116850,yeah every party in silicon valley ends up like hasidic wedding,./silicon,F
210,hasidic,35,"Yeah, every party in Silicon Valley  ends up like a hasidic wedding.",SI101,113110,116850,yeah every party in silicon valley ends up like hasidic wedding,./silicon,F
211,wedding,35,"Yeah, every party in Silicon Valley  ends up like a hasidic wedding.",SI101,113110,116850,yeah every party in silicon valley ends up like hasidic wedding,./silicon,F
212,not,36,Not even the Goolybib guys  were talking to girls.,SI101,116860,119440,not even goolybib guys were talking to girls,./silicon,F
213,even,36,Not even the Goolybib guys  were talking to girls.,SI101,116860,119440,not even goolybib guys were talking to girls,./silicon,F
214,goolybib,36,Not even the Goolybib guys  were talking to girls.,SI101,116860,119440,not even goolybib guys were talking to girls,./silicon,F
215,guys,36,Not even the Goolybib guys  were talking to girls.,SI101,116860,119440,not even goolybib guys were talking to girls,./silicon,F
216,were,36,Not even the Goolybib guys  were talking to girls.,SI101,116860,119440,not even goolybib guys were talking to girls,./silicon,F
217,talking,36,Not even the Goolybib guys  were talking to girls.,SI101,116860,119440,not even goolybib guys were talking to girls,./silicon,F
218,to,36,Not even the Goolybib guys  were talking to girls.,SI101,116860,119440,not even goolybib guys were talking to girls,./silicon,F
219,girls,36,Not even the Goolybib guys  were talking to girls.,SI101,116860,119440,not even goolybib guys were talking to girls,./silicon,F
220,they,37,"They don't have to, Big Head.",SI101,119450,121270,they don't have to big head,./silicon,F
221,don't,37,"They don't have to, Big Head.",SI101,119450,121270,they don't have to big head,./silicon,F
222,have,37,"They don't have to, Big Head.",SI101,119450,121270,they don't have to big head,./silicon,F
223,to,37,"They don't have to, Big Head.",SI101,119450,121270,they don't have to big head,./silicon,F
224,big,37,"They don't have to, Big Head.",SI101,119450,121270,they don't have to big head,./silicon,F
225,head,37,"They don't have to, Big Head.",SI101,119450,121270,they don't have to big head,./silicon,F
226,this,38,This house talks to girls.,SI101,121280,123110,this house talks to girls,./silicon,F
227,house,38,This house talks to girls.,SI101,121280,123110,this house talks to girls,./silicon,F
228,talks,38,This house talks to girls.,SI101,121280,123110,this house talks to girls,./silicon,F
229,to,38,This house talks to girls.,SI101,121280,123110,this house talks to girls,./silicon,F
230,girls,38,This house talks to girls.,SI101,121280,123110,this house talks to girls,./silicon,F
231,hello,39,Hello! Whoo!,SI101,126200,129330,hello whoo,./silicon,F
232,whoo,39,Hello! Whoo!,SI101,126200,129330,hello whoo,./silicon,F
233,i,40,I got seven words for you.,SI101,129340,132370,i got seven words for you,./silicon,F
234,got,40,I got seven words for you.,SI101,129340,132370,i got seven words for you,./silicon,F
235,seven,40,I got seven words for you.,SI101,129340,132370,i got seven words for you,./silicon,F
236,words,40,I got seven words for you.,SI101,129340,132370,i got seven words for you,./silicon,F
237,for,40,I got seven words for you.,SI101,129340,132370,i got seven words for you,./silicon,F
238,you,40,I got seven words for you.,SI101,129340,132370,i got seven words for you,./silicon,F
239,i,41,I love,SI101,132380,134630,i love,./silicon,F
240,love,41,I love,SI101,132380,134630,i love,./silicon,F
241,goolybib's,42,Goolybib's integrated-,SI101,134630,136630,goolybib's integrated,./silicon,F
242,integrated,42,Goolybib's integrated-,SI101,134630,136630,goolybib's integrated,./silicon,F
243,multiplatformfunctionality,43,multi-platform-functionality!,SI101,136630,139370,multiplatformfunctionality,./silicon,F
244,yeah,44,Yeah! Whoo!,SI101,139380,143540,yeah whoo,./silicon,F
245,whoo,44,Yeah! Whoo!,SI101,139380,143540,yeah whoo,./silicon,F
246,but,45,"But seriously,",SI101,143550,145810,but seriously,./silicon,F
247,seriously,45,"But seriously,",SI101,143550,145810,but seriously,./silicon,F
248,you,46,"you know, a few days ago, when we  were sitting down with Barack Obama,",SI101,145810,149470,you know few days ago when we were sitting down with barack obama,./silicon,F
249,know,46,"you know, a few days ago, when we  were sitting down with Barack Obama,",SI101,145810,149470,you know few days ago when we were sitting down with barack obama,./silicon,F
250,few,46,"you know, a few days ago, when we  were sitting down with Barack Obama,",SI101,145810,149470,you know few days ago when we were sitting down with barack obama,./silicon,F
251,days,46,"you know, a few days ago, when we  were sitting down with Barack Obama,",SI101,145810,149470,you know few days ago when we were sitting down with barack obama,./silicon,F
252,ago,46,"you know, a few days ago, when we  were sitting down with Barack Obama,",SI101,145810,149470,you know few days ago when we were sitting down with barack obama,./silicon,F
253,when,46,"you know, a few days ago, when we  were sitting down with Barack Obama,",SI101,145810,149470,you know few days ago when we were sitting down with barack obama,./silicon,F
254,we,46,"you know, a few days ago, when we  were sitting down with Barack Obama,",SI101,145810,149470,you know few days ago when we were sitting down with barack obama,./silicon,F
255,were,46,"you know, a few days ago, when we  were sitting down with Barack Obama,",SI101,145810,149470,you know few days ago when we were sitting down with barack obama,./silicon,F
256,sitting,46,"you know, a few days ago, when we  were sitting down with Barack Obama,",SI101,145810,149470,you know few days ago when we were sitting down with barack obama,./silicon,F
257,down,46,"you know, a few days ago, when we  were sitting down with Barack Obama,",SI101,145810,149470,you know few days ago when we were sitting down with barack obama,./silicon,F
258,with,46,"you know, a few days ago, when we  were sitting down with Barack Obama,",SI101,145810,149470,you know few days ago when we were sitting down with barack obama,./silicon,F
259,barack,46,"you know, a few days ago, when we  were sitting down with Barack Obama,",SI101,145810,149470,you know few days ago when we were sitting down with barack obama,./silicon,F
260,obama,46,"you know, a few days ago, when we  were sitting down with Barack Obama,",SI101,145810,149470,you know few days ago when we were sitting down with barack obama,./silicon,F
261,i,47,"I turned to these guys and said,",SI101,149480,150810,i turned to these guys and said,./silicon,F
262,turned,47,"I turned to these guys and said,",SI101,149480,150810,i turned to these guys and said,./silicon,F
263,to,47,"I turned to these guys and said,",SI101,149480,150810,i turned to these guys and said,./silicon,F
264,these,47,"I turned to these guys and said,",SI101,149480,150810,i turned to these guys and said,./silicon,F
265,guys,47,"I turned to these guys and said,",SI101,149480,150810,i turned to these guys and said,./silicon,F
266,and,47,"I turned to these guys and said,",SI101,149480,150810,i turned to these guys and said,./silicon,F
267,said,47,"I turned to these guys and said,",SI101,149480,150810,i turned to these guys and said,./silicon,F
268,"""ok",48,"""ok, you know, we're making a lot of money.",SI101,150810,153850,"""ok you know we're making lot of money",./silicon,F
